Country or Area,Commodity - Transaction,Year,Quantity
Montenegro,"Total hydro production - Kilowatt-hours, million",2023,2221.3
Montenegro,"Total hydro production - Kilowatt-hours, million",2022,1444.1
Montenegro,"Total hydro production - Kilowatt-hours, million",2021,2010.1
Montenegro,"Total hydro production - Kilowatt-hours, million",2020,1447.8
Montenegro,"Total hydro production - Kilowatt-hours, million",2019,1621.1
Morocco,"Total hydro production - Kilowatt-hours, million",2022,679.382
Morocco,"Total hydro production - Kilowatt-hours, million",2021,1212.652
Morocco,"Total hydro production - Kilowatt-hours, million",2020,1290.087
Morocco,"Total hydro production - Kilowatt-hours, million",2019,1653.781
Mozambique,"Total hydro production - Kilowatt-hours, million",2022,16173.409
Mozambique,"Total hydro production - Kilowatt-hours, million",2021,15467.967
Mozambique,"Total hydro production - Kilowatt-hours, million",2020,15703.34
Mozambique,"Total hydro production - Kilowatt-hours, million",2019,14929.619
Myanmar,"Total hydro production - Kilowatt-hours, million",2023,9281.87
Myanmar,"Total hydro production - Kilowatt-hours, million",2022,9069.93
Myanmar,"Total hydro production - Kilowatt-hours, million",2021,9590.08
Myanmar,"Total hydro production - Kilowatt-hours, million",2020,8370.26
Myanmar,"Total hydro production - Kilowatt-hours, million",2019,9369.08
Namibia,"Total hydro production - Kilowatt-hours, million",2023,1323.29488
Namibia,"Total hydro production - Kilowatt-hours, million",2022,781.18
Namibia,"Total hydro production - Kilowatt-hours, million",2021,968
Namibia,"Total hydro production - Kilowatt-hours, million",2020,1505
Namibia,"Total hydro production - Kilowatt-hours, million",2019,954
Nepal,"Total hydro production - Kilowatt-hours, million",2023,12687
Nepal,"Total hydro production - Kilowatt-hours, million",2022,10536
Nepal,"Total hydro production - Kilowatt-hours, million",2021,9533.739
Nepal,"Total hydro production - Kilowatt-hours, million",2020,6092.41
Nepal,"Total hydro production - Kilowatt-hours, million",2019,6060.56
Netherlands (Kingd. of the),"Total hydro production - Kilowatt-hours, million",2022,49.998
Netherlands (Kingd. of the),"Total hydro production - Kilowatt-hours, million",2021,88.24
Netherlands (Kingd. of the),"Total hydro production - Kilowatt-hours, million",2020,46.066
Netherlands (Kingd. of the),"Total hydro production - Kilowatt-hours, million",2019,74.182
New Caledonia,"Total hydro production - Kilowatt-hours, million",2023,421.01
New Caledonia,"Total hydro production - Kilowatt-hours, million",2022,538.61
New Caledonia,"Total hydro production - Kilowatt-hours, million",2021,424.918
New Caledonia,"Total hydro production - Kilowatt-hours, million",2020,304.997
New Caledonia,"Total hydro production - Kilowatt-hours, million",2019,284.77
New Zealand,"Total hydro production - Kilowatt-hours, million",2022,26273.578
New Zealand,"Total hydro production - Kilowatt-hours, million",2021,24232.31
New Zealand,"Total hydro production - Kilowatt-hours, million",2020,24265.767
New Zealand,"Total hydro production - Kilowatt-hours, million",2019,25596.092
Nicaragua,"Total hydro production - Kilowatt-hours, million",2022,650.152
Nicaragua,"Total hydro production - Kilowatt-hours, million",2021,599.026
Nicaragua,"Total hydro production - Kilowatt-hours, million",2020,574.471
Nicaragua,"Total hydro production - Kilowatt-hours, million",2019,226.986
Nigeria,"Total hydro production - Kilowatt-hours, million",2022,9204.19
Nigeria,"Total hydro production - Kilowatt-hours, million",2021,7942.92
Nigeria,"Total hydro production - Kilowatt-hours, million",2020,7689.6
Nigeria,"Total hydro production - Kilowatt-hours, million",2019,8433
North Macedonia,"Total hydro production - Kilowatt-hours, million",2023,1622.933
North Macedonia,"Total hydro production - Kilowatt-hours, million",2022,1345.316
North Macedonia,"Total hydro production - Kilowatt-hours, million",2021,1451.623
North Macedonia,"Total hydro production - Kilowatt-hours, million",2020,1277.144
North Macedonia,"Total hydro production - Kilowatt-hours, million",2019,1163.673
Norway,"Total hydro production - Kilowatt-hours, million",2022,129366.384
Norway,"Total hydro production - Kilowatt-hours, million",2021,144368.234
Norway,"Total hydro production - Kilowatt-hours, million",2020,142470.96
Norway,"Total hydro production - Kilowatt-hours, million",2019,126029.771
Other Asia,"Total hydro production - Kilowatt-hours, million",2022,8898.696
Other Asia,"Total hydro production - Kilowatt-hours, million",2021,6653.101
Other Asia,"Total hydro production - Kilowatt-hours, million",2020,6178.069
Other Asia,"Total hydro production - Kilowatt-hours, million",2019,8752.897
Pakistan,"Total hydro production - Kilowatt-hours, million",2022,35273
Pakistan,"Total hydro production - Kilowatt-hours, million",2021,35069
Pakistan,"Total hydro production - Kilowatt-hours, million",2020,38936
Pakistan,"Total hydro production - Kilowatt-hours, million",2019,38802
Panama,"Total hydro production - Kilowatt-hours, million",2023,6140.8
Panama,"Total hydro production - Kilowatt-hours, million",2022,8116.48
Panama,"Total hydro production - Kilowatt-hours, million",2021,8625.2
Panama,"Total hydro production - Kilowatt-hours, million",2020,7501.5
Panama,"Total hydro production - Kilowatt-hours, million",2019,5196
Papua New Guinea,"Total hydro production - Kilowatt-hours, million",2023,994.4444444
Papua New Guinea,"Total hydro production - Kilowatt-hours, million",2022,830
Papua New Guinea,"Total hydro production - Kilowatt-hours, million",2021,1000
Papua New Guinea,"Total hydro production - Kilowatt-hours, million",2020,972.222223
Papua New Guinea,"Total hydro production - Kilowatt-hours, million",2019,1095
Paraguay,"Total hydro production - Kilowatt-hours, million",2023,52811.72
Paraguay,"Total hydro production - Kilowatt-hours, million",2022,43879.5
Paraguay,"Total hydro production - Kilowatt-hours, million",2021,40574.21
Paraguay,"Total hydro production - Kilowatt-hours, million",2020,46371.04
Paraguay,"Total hydro production - Kilowatt-hours, million",2019,49445.76
Peru,"Total hydro production - Kilowatt-hours, million",2022,29743.8
Peru,"Total hydro production - Kilowatt-hours, million",2021,31889.996
Peru,"Total hydro production - Kilowatt-hours, million",2020,30510.304
Peru,"Total hydro production - Kilowatt-hours, million",2019,31462.088
Philippines,"Total hydro production - Kilowatt-hours, million",2022,10102
Philippines,"Total hydro production - Kilowatt-hours, million",2021,9202.3
Philippines,"Total hydro production - Kilowatt-hours, million",2020,7209
Philippines,"Total hydro production - Kilowatt-hours, million",2019,8042.5
Poland,"Total hydro production - Kilowatt-hours, million",2022,3018.308
Poland,"Total hydro production - Kilowatt-hours, million",2021,3100.777
Poland,"Total hydro production - Kilowatt-hours, million",2020,2936.988
Poland,"Total hydro production - Kilowatt-hours, million",2019,2664.882
Portugal,"Total hydro production - Kilowatt-hours, million",2022,8839.282
Portugal,"Total hydro production - Kilowatt-hours, million",2021,13454.629
Portugal,"Total hydro production - Kilowatt-hours, million",2020,13632.554
Portugal,"Total hydro production - Kilowatt-hours, million",2019,10242.515
Puerto Rico,"Total hydro production - Kilowatt-hours, million",2023,45
Puerto Rico,"Total hydro production - Kilowatt-hours, million",2022,44.737
Puerto Rico,"Total hydro production - Kilowatt-hours, million",2021,39.709
Puerto Rico,"Total hydro production - Kilowatt-hours, million",2020,50.5
Puerto Rico,"Total hydro production - Kilowatt-hours, million",2019,41
Republic of Moldova,"Total hydro production - Kilowatt-hours, million",2023,69.1
Republic of Moldova,"Total hydro production - Kilowatt-hours, million",2022,41
Republic of Moldova,"Total hydro production - Kilowatt-hours, million",2021,68
Republic of Moldova,"Total hydro production - Kilowatt-hours, million",2020,47
Republic of Moldova,"Total hydro production - Kilowatt-hours, million",2019,65
Romania,"Total hydro production - Kilowatt-hours, million",2022,14360.045
Romania,"Total hydro production - Kilowatt-hours, million",2021,17745.008
Romania,"Total hydro production - Kilowatt-hours, million",2020,15701.386
Romania,"Total hydro production - Kilowatt-hours, million",2019,16005.701
Russian Federation,"Total hydro production - Kilowatt-hours, million",2022,199361.176
Russian Federation,"Total hydro production - Kilowatt-hours, million",2021,216392.03
Russian Federation,"Total hydro production - Kilowatt-hours, million",2020,214388.4
Russian Federation,"Total hydro production - Kilowatt-hours, million",2019,196510.443
Rwanda,"Total hydro production - Kilowatt-hours, million",2023,575
Rwanda,"Total hydro production - Kilowatt-hours, million",2022,554.57
Rwanda,"Total hydro production - Kilowatt-hours, million",2021,544.7
Rwanda,"Total hydro production - Kilowatt-hours, million",2020,494.4
Rwanda,"Total hydro production - Kilowatt-hours, million",2019,387
Samoa,"Total hydro production - Kilowatt-hours, million",2023,45.541
Samoa,"Total hydro production - Kilowatt-hours, million",2022,35.368
Samoa,"Total hydro production - Kilowatt-hours, million",2021,55.283
Samoa,"Total hydro production - Kilowatt-hours, million",2020,41.364
Samoa,"Total hydro production - Kilowatt-hours, million",2019,49.816
Sao Tome and Principe,"Total hydro production - Kilowatt-hours, million",2023,5.9
Sao Tome and Principe,"Total hydro production - Kilowatt-hours, million",2022,1.859
Sao Tome and Principe,"Total hydro production - Kilowatt-hours, million",2021,5.055
Sao Tome and Principe,"Total hydro production - Kilowatt-hours, million",2020,4.897
Sao Tome and Principe,"Total hydro production - Kilowatt-hours, million",2019,5.8
Serbia,"Total hydro production - Kilowatt-hours, million",2022,9274.434
Serbia,"Total hydro production - Kilowatt-hours, million",2021,11984.227
Serbia,"Total hydro production - Kilowatt-hours, million",2020,9748.645
Serbia,"Total hydro production - Kilowatt-hours, million",2019,10198.239
Sierra Leone,"Total hydro production - Kilowatt-hours, million",2023,226.55
Sierra Leone,"Total hydro production - Kilowatt-hours, million",2022,215.97
Sierra Leone,"Total hydro production - Kilowatt-hours, million",2021,237.13
Sierra Leone,"Total hydro production - Kilowatt-hours, million",2020,236.1
Sierra Leone,"Total hydro production - Kilowatt-hours, million",2019,236.77
Slovakia,"Total hydro production - Kilowatt-hours, million",2022,3963
Slovakia,"Total hydro production - Kilowatt-hours, million",2021,4552
Slovakia,"Total hydro production - Kilowatt-hours, million",2020,4799
Slovakia,"Total hydro production - Kilowatt-hours, million",2019,4571
Slovenia,"Total hydro production - Kilowatt-hours, million",2022,3400.694
Slovenia,"Total hydro production - Kilowatt-hours, million",2021,4997.067
Slovenia,"Total hydro production - Kilowatt-hours, million",2020,5224.743
Slovenia,"Total hydro production - Kilowatt-hours, million",2019,4682.539
Solomon Islands,"Total hydro production - Kilowatt-hours, million",2023,0.9
Solomon Islands,"Total hydro production - Kilowatt-hours, million",2022,0.89
Solomon Islands,"Total hydro production - Kilowatt-hours, million",2021,0.89
Solomon Islands,"Total hydro production - Kilowatt-hours, million",2020,0.89
Solomon Islands,"Total hydro production - Kilowatt-hours, million",2019,0.891
South Africa,"Total hydro production - Kilowatt-hours, million",2022,7245
South Africa,"Total hydro production - Kilowatt-hours, million",2021,6784
South Africa,"Total hydro production - Kilowatt-hours, million",2020,6246
South Africa,"Total hydro production - Kilowatt-hours, million",2019,5791
Spain,"Total hydro production - Kilowatt-hours, million",2022,22102
Spain,"Total hydro production - Kilowatt-hours, million",2021,32847
Spain,"Total hydro production - Kilowatt-hours, million",2020,33998
Spain,"Total hydro production - Kilowatt-hours, million",2019,26874
Sri Lanka,"Total hydro production - Kilowatt-hours, million",2022,6759.468
Sri Lanka,"Total hydro production - Kilowatt-hours, million",2021,7226.5
Sri Lanka,"Total hydro production - Kilowatt-hours, million",2020,4976.351
Sri Lanka,"Total hydro production - Kilowatt-hours, million",2019,4811.9
St. Vincent-Grenadines,"Total hydro production - Kilowatt-hours, million",2023,21.2
St. Vincent-Grenadines,"Total hydro production - Kilowatt-hours, million",2022,21
St. Vincent-Grenadines,"Total hydro production - Kilowatt-hours, million",2021,19.221
St. Vincent-Grenadines,"Total hydro production - Kilowatt-hours, million",2020,21.603
St. Vincent-Grenadines,"Total hydro production - Kilowatt-hours, million",2019,21.618
Sudan,"Total hydro production - Kilowatt-hours, million",2022,11803.687
Sudan,"Total hydro production - Kilowatt-hours, million",2021,10061
Sudan,"Total hydro production - Kilowatt-hours, million",2020,11007.52
Sudan,"Total hydro production - Kilowatt-hours, million",2019,10210
Suriname,"Total hydro production - Kilowatt-hours, million",2022,917.131
Suriname,"Total hydro production - Kilowatt-hours, million",2021,847
Suriname,"Total hydro production - Kilowatt-hours, million",2020,674
Suriname,"Total hydro production - Kilowatt-hours, million",2019,952.437
Sweden,"Total hydro production - Kilowatt-hours, million",2022,69967
Sweden,"Total hydro production - Kilowatt-hours, million",2021,73926
Sweden,"Total hydro production - Kilowatt-hours, million",2020,72440
Sweden,"Total hydro production - Kilowatt-hours, million",2019,65393
Switzerland,"Total hydro production - Kilowatt-hours, million",2022,33836.01
Switzerland,"Total hydro production - Kilowatt-hours, million",2021,39895
Switzerland,"Total hydro production - Kilowatt-hours, million",2020,41022.16
Switzerland,"Total hydro production - Kilowatt-hours, million",2019,40961.56
Syrian Arab Republic,"Total hydro production - Kilowatt-hours, million",2022,754
Syrian Arab Republic,"Total hydro production - Kilowatt-hours, million",2021,754
Syrian Arab Republic,"Total hydro production - Kilowatt-hours, million",2020,754
Syrian Arab Republic,"Total hydro production - Kilowatt-hours, million",2019,754
Tajikistan,"Total hydro production - Kilowatt-hours, million",2023,20632
Tajikistan,"Total hydro production - Kilowatt-hours, million",2022,19924
Tajikistan,"Total hydro production - Kilowatt-hours, million",2021,18967
Tajikistan,"Total hydro production - Kilowatt-hours, million",2020,18114.4
Tajikistan,"Total hydro production - Kilowatt-hours, million",2019,19169.2
Thailand,"Total hydro production - Kilowatt-hours, million",2023,6761
Thailand,"Total hydro production - Kilowatt-hours, million",2022,6834
Thailand,"Total hydro production - Kilowatt-hours, million",2021,4687.35
Thailand,"Total hydro production - Kilowatt-hours, million",2020,4656.37
Thailand,"Total hydro production - Kilowatt-hours, million",2019,6446
Timor-Leste,"Total hydro production - Kilowatt-hours, million",2023,1.5
Timor-Leste,"Total hydro production - Kilowatt-hours, million",2022,1.5
Timor-Leste,"Total hydro production - Kilowatt-hours, million",2021,1.5
Timor-Leste,"Total hydro production - Kilowatt-hours, million",2020,1.5
Timor-Leste,"Total hydro production - Kilowatt-hours, million",2019,1.5
Togo,"Total hydro production - Kilowatt-hours, million",2022,78.4
Togo,"Total hydro production - Kilowatt-hours, million",2021,85.58
Togo,"Total hydro production - Kilowatt-hours, million",2020,143.86
Togo,"Total hydro production - Kilowatt-hours, million",2019,236.42
Tunisia,"Total hydro production - Kilowatt-hours, million",2022,14.88
Tunisia,"Total hydro production - Kilowatt-hours, million",2021,28.06
Tunisia,"Total hydro production - Kilowatt-hours, million",2020,46.02
Tunisia,"Total hydro production - Kilowatt-hours, million",2019,65.9
Türkiye,"Total hydro production - Kilowatt-hours, million",2022,66802.497
Türkiye,"Total hydro production - Kilowatt-hours, million",2021,55926.81
Türkiye,"Total hydro production - Kilowatt-hours, million",2020,78094.369
Türkiye,"Total hydro production - Kilowatt-hours, million",2019,88822.776
Turkmenistan,"Total hydro production - Kilowatt-hours, million",2022,5.782
Turkmenistan,"Total hydro production - Kilowatt-hours, million",2021,5.782
Turkmenistan,"Total hydro production - Kilowatt-hours, million",2020,3.154
Turkmenistan,"Total hydro production - Kilowatt-hours, million",2019,3.154
Uganda,"Total hydro production - Kilowatt-hours, million",2023,5662
Uganda,"Total hydro production - Kilowatt-hours, million",2022,4964.898
Uganda,"Total hydro production - Kilowatt-hours, million",2021,4334.295
Uganda,"Total hydro production - Kilowatt-hours, million",2020,4082.722
Uganda,"Total hydro production - Kilowatt-hours, million",2019,3985.8
Ukraine,"Total hydro production - Kilowatt-hours, million",2022,10904.724
Ukraine,"Total hydro production - Kilowatt-hours, million",2021,10332.6
Ukraine,"Total hydro production - Kilowatt-hours, million",2020,7563.8
Ukraine,"Total hydro production - Kilowatt-hours, million",2019,7855.1
United Kingdom,"Total hydro production - Kilowatt-hours, million",2022,7632.104
United Kingdom,"Total hydro production - Kilowatt-hours, million",2021,7292.405
United Kingdom,"Total hydro production - Kilowatt-hours, million",2020,8407.76
United Kingdom,"Total hydro production - Kilowatt-hours, million",2019,7689.309
United Rep. of Tanzania,"Total hydro production - Kilowatt-hours, million",2022,2820.53
United Rep. of Tanzania,"Total hydro production - Kilowatt-hours, million",2021,3086.3
United Rep. of Tanzania,"Total hydro production - Kilowatt-hours, million",2020,3139.2
United Rep. of Tanzania,"Total hydro production - Kilowatt-hours, million",2019,2477.4
United States,"Total hydro production - Kilowatt-hours, million",2022,279067.291
United States,"Total hydro production - Kilowatt-hours, million",2021,274096.19
United States,"Total hydro production - Kilowatt-hours, million",2020,308212.917
United States,"Total hydro production - Kilowatt-hours, million",2019,310570.934
Uruguay,"Total hydro production - Kilowatt-hours, million",2023,3516.3
Uruguay,"Total hydro production - Kilowatt-hours, million",2022,5685.7
Uruguay,"Total hydro production - Kilowatt-hours, million",2021,5272.8
Uruguay,"Total hydro production - Kilowatt-hours, million",2020,4093.9
Uruguay,"Total hydro production - Kilowatt-hours, million",2019,8108.3
Uzbekistan,"Total hydro production - Kilowatt-hours, million",2022,6484.262
Uzbekistan,"Total hydro production - Kilowatt-hours, million",2021,4972.277
Uzbekistan,"Total hydro production - Kilowatt-hours, million",2020,4999.187
Uzbekistan,"Total hydro production - Kilowatt-hours, million",2019,6461.993
Vanuatu,"Total hydro production - Kilowatt-hours, million",2023,8.5
Vanuatu,"Total hydro production - Kilowatt-hours, million",2022,8.9
Vanuatu,"Total hydro production - Kilowatt-hours, million",2021,8.28
Vanuatu,"Total hydro production - Kilowatt-hours, million",2020,8.3
Vanuatu,"Total hydro production - Kilowatt-hours, million",2019,7.78
Venezuela (Bolivar. Rep.),"Total hydro production - Kilowatt-hours, million",2022,68511.77
Venezuela (Bolivar. Rep.),"Total hydro production - Kilowatt-hours, million",2021,67845.36
Venezuela (Bolivar. Rep.),"Total hydro production - Kilowatt-hours, million",2020,67190.02
Venezuela (Bolivar. Rep.),"Total hydro production - Kilowatt-hours, million",2019,62789.4
Viet Nam,"Total hydro production - Kilowatt-hours, million",2022,97894.16601
Viet Nam,"Total hydro production - Kilowatt-hours, million",2021,78633
Viet Nam,"Total hydro production - Kilowatt-hours, million",2020,73461
Viet Nam,"Total hydro production - Kilowatt-hours, million",2019,85097
Wallis and Futuna Is.,"Total hydro production - Kilowatt-hours, million",2023,0.39
Wallis and Futuna Is.,"Total hydro production - Kilowatt-hours, million",2022,0.37
Wallis and Futuna Is.,"Total hydro production - Kilowatt-hours, million",2021,0.36
Wallis and Futuna Is.,"Total hydro production - Kilowatt-hours, million",2020,0.35
Wallis and Futuna Is.,"Total hydro production - Kilowatt-hours, million",2019,0.35
Zambia,"Total hydro production - Kilowatt-hours, million",2023,17090.6
Zambia,"Total hydro production - Kilowatt-hours, million",2022,17088.838
Zambia,"Total hydro production - Kilowatt-hours, million",2021,16072.683
Zambia,"Total hydro production - Kilowatt-hours, million",2020,12792.759
Zambia,"Total hydro production - Kilowatt-hours, million",2019,12328.8
Zimbabwe,"Total hydro production - Kilowatt-hours, million",2022,5896.99
Zimbabwe,"Total hydro production - Kilowatt-hours, million",2021,5928.23
Zimbabwe,"Total hydro production - Kilowatt-hours, million",2020,3805.347
Zimbabwe,"Total hydro production - Kilowatt-hours, million",2019,4165.599
