Country or Area,Commodity - Transaction,Year,Quantity
Cambodia,"Total hydro production - Kilowatt-hours, million",2022,6157.347
Cambodia,"Total hydro production - Kilowatt-hours, million",2021,5249.286
Cambodia,"Total hydro production - Kilowatt-hours, million",2020,4048.364
Cambodia,"Total hydro production - Kilowatt-hours, million",2019,4025
Cameroon,"Total hydro production - Kilowatt-hours, million",2022,7032.749
Cameroon,"Total hydro production - Kilowatt-hours, million",2021,6308.682
Cameroon,"Total hydro production - Kilowatt-hours, million",2020,4945.4
Cameroon,"Total hydro production - Kilowatt-hours, million",2019,5229.445
Canada,"Total hydro production - Kilowatt-hours, million",2022,397727
Canada,"Total hydro production - Kilowatt-hours, million",2021,383963
Canada,"Total hydro production - Kilowatt-hours, million",2020,386617
Canada,"Total hydro production - Kilowatt-hours, million",2019,381843
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2023,142.69
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2022,141.27
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2021,140.081
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2020,140.081
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2019,140.325
Chile,"Total hydro production - Kilowatt-hours, million",2022,20684.438
Chile,"Total hydro production - Kilowatt-hours, million",2021,19347.883
Chile,"Total hydro production - Kilowatt-hours, million",2020,21873.09
Chile,"Total hydro production - Kilowatt-hours, million",2019,22477.013
China,"Total hydro production - Kilowatt-hours, million",2022,1352195
China,"Total hydro production - Kilowatt-hours, million",2021,1339000
China,"Total hydro production - Kilowatt-hours, million",2020,1355210
China,"Total hydro production - Kilowatt-hours, million",2019,1304440
Colombia,"Total hydro production - Kilowatt-hours, million",2022,62248.191
Colombia,"Total hydro production - Kilowatt-hours, million",2021,62318.28
Colombia,"Total hydro production - Kilowatt-hours, million",2020,49977.353
Colombia,"Total hydro production - Kilowatt-hours, million",2019,54593.646
Congo,"Total hydro production - Kilowatt-hours, million",2022,1119
Congo,"Total hydro production - Kilowatt-hours, million",2021,989
Congo,"Total hydro production - Kilowatt-hours, million",2020,900.45
Congo,"Total hydro production - Kilowatt-hours, million",2019,846.89
Costa Rica,"Total hydro production - Kilowatt-hours, million",2022,9448.709
Costa Rica,"Total hydro production - Kilowatt-hours, million",2021,9285.714
Costa Rica,"Total hydro production - Kilowatt-hours, million",2020,8294.32
Costa Rica,"Total hydro production - Kilowatt-hours, million",2019,7826.661
Côte d'Ivoire,"Total hydro production - Kilowatt-hours, million",2022,2846
Côte d'Ivoire,"Total hydro production - Kilowatt-hours, million",2021,2626
Côte d'Ivoire,"Total hydro production - Kilowatt-hours, million",2020,3376
Côte d'Ivoire,"Total hydro production - Kilowatt-hours, million",2019,3481
Croatia,"Total hydro production - Kilowatt-hours, million",2022,5573.7
Croatia,"Total hydro production - Kilowatt-hours, million",2021,7228.7
Croatia,"Total hydro production - Kilowatt-hours, million",2020,5810.4
Croatia,"Total hydro production - Kilowatt-hours, million",2019,5932.6
Cuba,"Total hydro production - Kilowatt-hours, million",2022,120.2
Cuba,"Total hydro production - Kilowatt-hours, million",2021,119.7
Cuba,"Total hydro production - Kilowatt-hours, million",2020,111.9
Cuba,"Total hydro production - Kilowatt-hours, million",2019,124.5
Czechia,"Total hydro production - Kilowatt-hours, million",2022,3083.174
Czechia,"Total hydro production - Kilowatt-hours, million",2021,3619.924
Czechia,"Total hydro production - Kilowatt-hours, million",2020,3436.963
Czechia,"Total hydro production - Kilowatt-hours, million",2019,3174.686
Dem. Rep. of the Congo,"Total hydro production - Kilowatt-hours, million",2022,13191.911
Dem. Rep. of the Congo,"Total hydro production - Kilowatt-hours, million",2021,13131.045
Dem. Rep. of the Congo,"Total hydro production - Kilowatt-hours, million",2020,12452.941
Dem. Rep. of the Congo,"Total hydro production - Kilowatt-hours, million",2019,11482.61
Denmark,"Total hydro production - Kilowatt-hours, million",2022,14.944
Denmark,"Total hydro production - Kilowatt-hours, million",2021,16.294
Denmark,"Total hydro production - Kilowatt-hours, million",2020,17.064
Denmark,"Total hydro production - Kilowatt-hours, million",2019,16.956
Dominica,"Total hydro production - Kilowatt-hours, million",2023,23.89
Dominica,"Total hydro production - Kilowatt-hours, million",2022,22.691
Dominica,"Total hydro production - Kilowatt-hours, million",2021,19.822
Dominica,"Total hydro production - Kilowatt-hours, million",2020,19.24
Dominica,"Total hydro production - Kilowatt-hours, million",2019,20.15
Dominican Republic,"Total hydro production - Kilowatt-hours, million",2022,1298.38
Dominican Republic,"Total hydro production - Kilowatt-hours, million",2021,1858.97
Dominican Republic,"Total hydro production - Kilowatt-hours, million",2020,1574.5
Dominican Republic,"Total hydro production - Kilowatt-hours, million",2019,1298.38
Ecuador,"Total hydro production - Kilowatt-hours, million",2023,25348.72
Ecuador,"Total hydro production - Kilowatt-hours, million",2022,24635.157
Ecuador,"Total hydro production - Kilowatt-hours, million",2021,25574.611
Ecuador,"Total hydro production - Kilowatt-hours, million",2020,24333.262
Ecuador,"Total hydro production - Kilowatt-hours, million",2019,24640.573
Egypt,"Total hydro production - Kilowatt-hours, million",2022,14646
Egypt,"Total hydro production - Kilowatt-hours, million",2021,14769
Egypt,"Total hydro production - Kilowatt-hours, million",2020,15038
Egypt,"Total hydro production - Kilowatt-hours, million",2019,13121
El Salvador,"Total hydro production - Kilowatt-hours, million",2023,1568.303
El Salvador,"Total hydro production - Kilowatt-hours, million",2022,2234.127
El Salvador,"Total hydro production - Kilowatt-hours, million",2021,1816.97064
El Salvador,"Total hydro production - Kilowatt-hours, million",2020,2066.60148
El Salvador,"Total hydro production - Kilowatt-hours, million",2019,1522.16409
Equatorial Guinea,"Total hydro production - Kilowatt-hours, million",2023,600
Equatorial Guinea,"Total hydro production - Kilowatt-hours, million",2022,600
Equatorial Guinea,"Total hydro production - Kilowatt-hours, million",2021,620
Equatorial Guinea,"Total hydro production - Kilowatt-hours, million",2020,620
Equatorial Guinea,"Total hydro production - Kilowatt-hours, million",2019,620
Estonia,"Total hydro production - Kilowatt-hours, million",2022,23
Estonia,"Total hydro production - Kilowatt-hours, million",2021,23
Estonia,"Total hydro production - Kilowatt-hours, million",2020,30
Estonia,"Total hydro production - Kilowatt-hours, million",2019,19
Eswatini,"Total hydro production - Kilowatt-hours, million",2023,306
