Country/area,Technology,Year,Public Investments (2022 Million USD)
Angola,Concentrated solar power,2021,
Angola,Concentrated solar power,2022,
Angola,Concentrated solar power,2023,
Angola,Onshore wind energy,2019,
Angola,Onshore wind energy,2020,
Angola,Onshore wind energy,2021,
Angola,Onshore wind energy,2022,
Angola,Onshore wind energy,2023,
Angola,Offshore wind energy,2019,
Angola,Offshore wind energy,2020,
Angola,Offshore wind energy,2021,
Angola,Offshore wind energy,2022,
Angola,Offshore wind energy,2023,
Angola,Renewable hydropower,2019,
Angola,Renewable hydropower,2020,
Angola,Renewable hydropower,2021,
Angola,Renewable hydropower,2022,40
Angola,Renewable hydropower,2023,
Angola,Pumped storage,2019,
Angola,Pumped storage,2020,
Angola,Pumped storage,2021,
Angola,Pumped storage,2022,
Angola,Pumped storage,2023,
Angola,Marine energy,2019,
Angola,Marine energy,2020,
Angola,Marine energy,2021,
Angola,Marine energy,2022,
Angola,Marine energy,2023,
Angola,Nuclear,2019,
Angola,Nuclear,2020,
Angola,Nuclear,2021,
Angola,Nuclear,2022,
Angola,Nuclear,2023,
Anguilla,Ongrid solar photovoltaic,2019,
Anguilla,Ongrid solar photovoltaic,2020,
Anguilla,Ongrid solar photovoltaic,2021,
Anguilla,Ongrid solar photovoltaic,2022,
Anguilla,Ongrid solar photovoltaic,2023,
Anguilla,Offgrid solar photovoltaic,2019,
Anguilla,Offgrid solar photovoltaic,2020,
Anguilla,Offgrid solar photovoltaic,2021,
Anguilla,Offgrid solar photovoltaic,2022,
Anguilla,Offgrid solar photovoltaic,2023,
Anguilla,Solar thermal energy,2019,
Anguilla,Solar thermal energy,2020,
Anguilla,Solar thermal energy,2021,
Anguilla,Solar thermal energy,2022,
Anguilla,Solar thermal energy,2023,
Anguilla,Concentrated solar power,2019,
Anguilla,Concentrated solar power,2020,
Anguilla,Concentrated solar power,2021,
Anguilla,Concentrated solar power,2022,
Anguilla,Concentrated solar power,2023,
Anguilla,Onshore wind energy,2019,
Anguilla,Onshore wind energy,2020,
Anguilla,Onshore wind energy,2021,
Anguilla,Onshore wind energy,2022,
Anguilla,Onshore wind energy,2023,
Anguilla,Offshore wind energy,2019,
Anguilla,Offshore wind energy,2020,
Anguilla,Offshore wind energy,2021,
Anguilla,Offshore wind energy,2022,
Anguilla,Offshore wind energy,2023,
Anguilla,Renewable hydropower,2019,
Anguilla,Renewable hydropower,2020,
Anguilla,Renewable hydropower,2021,
Anguilla,Renewable hydropower,2022,
