"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Bahrain","Electricity - total solar production","2019","Kilowatt-hours, million","15.58",""
"Bangladesh","Electricity - total solar production","2022","Kilowatt-hours, million","323",""
"Bangladesh","Electricity - total solar production","2021","Kilowatt-hours, million","158",""
"Bangladesh","Electricity - total solar production","2020","Kilowatt-hours, million","412.648",""
"Bangladesh","Electricity - total solar production","2019","Kilowatt-hours, million","346.896",""
"Barbados","Electricity - total solar production","2023","Kilowatt-hours, million","108.333333333333","1"
"Barbados","Electricity - total solar production","2022","Kilowatt-hours, million","108.305556",""
"Barbados","Electricity - total solar production","2021","Kilowatt-hours, million","84.527778",""
"Barbados","Electricity - total solar production","2020","Kilowatt-hours, million","68.7",""
"Barbados","Electricity - total solar production","2019","Kilowatt-hours, million","52",""
"Belarus","Electricity - total solar production","2022","Kilowatt-hours, million","286.842",""
"Belarus","Electricity - total solar production","2021","Kilowatt-hours, million","172",""
"Belarus","Electricity - total solar production","2020","Kilowatt-hours, million","176",""
"Belarus","Electricity - total solar production","2019","Kilowatt-hours, million","181",""
"Belgium","Electricity - total solar production","2022","Kilowatt-hours, million","6876",""
"Belgium","Electricity - total solar production","2021","Kilowatt-hours, million","5618.1",""
"Belgium","Electricity - total solar production","2020","Kilowatt-hours, million","5112.2",""
"Belgium","Electricity - total solar production","2019","Kilowatt-hours, million","4252.5",""
"Belize","Electricity - total solar production","2023","Kilowatt-hours, million","5.4","1"
"Belize","Electricity - total solar production","2022","Kilowatt-hours, million","5.3",""
"Belize","Electricity - total solar production","2021","Kilowatt-hours, million","2.5",""
"Belize","Electricity - total solar production","2020","Kilowatt-hours, million","0.578",""
"Belize","Electricity - total solar production","2019","Kilowatt-hours, million","0.66",""
"Benin","Electricity - total solar production","2022","Kilowatt-hours, million","33.177",""
"Benin","Electricity - total solar production","2021","Kilowatt-hours, million","16.77",""
"Benin","Electricity - total solar production","2020","Kilowatt-hours, million","7.436",""
"Benin","Electricity - total solar production","2019","Kilowatt-hours, million","7.521",""
