country_code,country,continent,indicator,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
ALB,Albania,Europe,renewable_prod_pct,0.442758355743373,0.624317711274233,0.465409506806516,NA,NA,NA
ALB,Albania,Europe,energy_invest_private_usd,NA,NA,NA,NA,187330000,NA
ALB,Albania,Europe,energy_invest_ppp_usd,NA,NA,NA,NA,187330000,NA
ALB,Albania,Europe,renewable_consump_pct,40.1,44.4,41.9,NA,NA,NA
ALB,Albania,Europe,GHG_emissions_total,9.96417,9.31297,9.74087,9.15757,NA,NA
ALB,Albania,Europe,mixed_hydro_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,mixed_hydro_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,mixed_hydro_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,mixed_hydro_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,nuclear_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,nuclear_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,nuclear_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,nuclear_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,offshore_wind_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,offshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,offshore_wind_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,offshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,onshore_wind_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,onshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,onshore_wind_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,onshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,other_non_renewable_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,other_non_renewable_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,other_non_renewable_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,other_non_renewable_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,pumped_storage_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,pumped_storage_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,pumped_storage_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,pumped_storage_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,renewable_hydropower_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,renewable_hydropower_gen_gwh_on_grid,5183.85,5280.9,8921.94,6841.75,8708.56,NA
ALB,Albania,Europe,renewable_hydropower_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,renewable_hydropower_cap_mw_on_grid,2162,2387,2507,2493,2518.86,2518.86
ALB,Albania,Europe,solar_pv_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,solar_pv_gen_gwh_on_grid,22.2,32.27,40.77,160.89,297.46,NA
