Country/area,Technology,Data Type,Grid connection,2019,2020,2021,2022,2023,2024
Albania,Solar thermal energy,Electricity Generation (GWh),Off-grid,,,,,,
Albania,Solar thermal energy,Electricity Generation (GWh),On-grid,,,,,,
Albania,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Albania,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Albania,Total renewable,Electricity Generation (GWh),Off-grid,,,,,,
Albania,Total renewable,Electricity Generation (GWh),On-grid,5206.04,5313.17,8962.71,7002.64,9006.02,
Albania,Total renewable,Electricity Installed Capacity (MW),Off-grid,,,,,,
Albania,Total renewable,Electricity Installed Capacity (MW),On-grid,2177.43,2409.43,2531.43,2594.57,2727.02,2827.02
Algeria,Mixed Hydro Plants,Electricity Generation (GWh),Off-grid,,,,,,
Algeria,Mixed Hydro Plants,Electricity Generation (GWh),On-grid,,,,,,
Algeria,Mixed Hydro Plants,Electricity Installed Capacity (MW),Off-grid,,,,,,
Algeria,Mixed Hydro Plants,Electricity Installed Capacity (MW),On-grid,,,,,,
Algeria,Nuclear,Electricity Generation (GWh),Off-grid,,,,,,
Algeria,Nuclear,Electricity Generation (GWh),On-grid,,,,,,
Algeria,Nuclear,Electricity Installed Capacity (MW),Off-grid,,,,,,
Algeria,Nuclear,Electricity Installed Capacity (MW),On-grid,,,,,,
Algeria,Offshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Algeria,Offshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Algeria,Offshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Algeria,Offshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Algeria,Onshore wind energy,Electricity Generation (GWh),Off-grid,10,8,11,16,13.57,
Algeria,Onshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Algeria,Onshore wind energy,Electricity Installed Capacity (MW),Off-grid,10,10,10,10,10,10
Algeria,Onshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Algeria,Other non-renewable energy,Electricity Generation (GWh),Off-grid,,,,,,
Algeria,Other non-renewable energy,Electricity Generation (GWh),On-grid,,,,,,
Algeria,Other non-renewable energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Algeria,Other non-renewable energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Algeria,Pumped storage,Electricity Generation (GWh),Off-grid,,,,,,
Algeria,Pumped storage,Electricity Generation (GWh),On-grid,,,,,,
Algeria,Pumped storage,Electricity Installed Capacity (MW),Off-grid,,,,,,
Algeria,Pumped storage,Electricity Installed Capacity (MW),On-grid,,,,,,
Algeria,Renewable hydropower,Electricity Generation (GWh),Off-grid,,,,,,
Algeria,Renewable hydropower,Electricity Generation (GWh),On-grid,152,49.6,9,16.4,23.26,
Algeria,Renewable hydropower,Electricity Installed Capacity (MW),Off-grid,,,,,,
Algeria,Renewable hydropower,Electricity Installed Capacity (MW),On-grid,228,208.6,128.9,128.9,128.9,128.9
Algeria,Solar photovoltaic,Electricity Generation (GWh),Off-grid,35,35,35,69,85,
Algeria,Solar photovoltaic,Electricity Generation (GWh),On-grid,544.93,665,642,649,686.17,
Algeria,Solar photovoltaic,Electricity Installed Capacity (MW),Off-grid,19.54,19.54,19.54,38.84,47.85,47.85
Algeria,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,322.2,322.2,322.2,386.96,388.95,388.95
Algeria,Solar thermal energy,Electricity Generation (GWh),Off-grid,,,,,,
Algeria,Solar thermal energy,Electricity Generation (GWh),On-grid,133.11,118.11,118.11,118.11,118.11,
Algeria,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Algeria,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,25,25,25,25,25,25
Algeria,Total renewable,Electricity Generation (GWh),Off-grid,45,43,46,85,98.57,
Algeria,Total renewable,Electricity Generation (GWh),On-grid,830.05,832.71,769.11,783.51,827.54,
Algeria,Total renewable,Electricity Installed Capacity (MW),Off-grid,29.54,29.54,29.54,48.84,57.85,57.85
Algeria,Total renewable,Electricity Installed Capacity (MW),On-grid,575.2,555.8,476.1,540.86,542.85,542.85
American Samoa,Mixed Hydro Plants,Electricity Generation (GWh),Off-grid,,,,,,
American Samoa,Mixed Hydro Plants,Electricity Generation (GWh),On-grid,,,,,,
American Samoa,Mixed Hydro Plants,Electricity Installed Capacity (MW),Off-grid,,,,,,
American Samoa,Mixed Hydro Plants,Electricity Installed Capacity (MW),On-grid,,,,,,
American Samoa,Nuclear,Electricity Generation (GWh),Off-grid,,,,,,
American Samoa,Nuclear,Electricity Generation (GWh),On-grid,,,,,,
American Samoa,Nuclear,Electricity Installed Capacity (MW),Off-grid,,,,,,
American Samoa,Nuclear,Electricity Installed Capacity (MW),On-grid,,,,,,
American Samoa,Offshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
American Samoa,Offshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
American Samoa,Offshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
