country_code,country,continent,year,renewable_elec_pct,renewable_prod_kwh,renewable_prod_pct,renewable_consump_pct,hydro_elec_pct,total_renewable_cap_mw,total_renewable_gen_gwh,GHG_emissions_total,energy_invest_private_ppp_USD,total_solar_cap_mw,total_solar_gen_gwh,total_wind_cap_mw,total_wind_gen_gwh,total_hydro_cap_mw,total_hydro_gen_gwh,total_financing_solar_USD,total_financing_wind_USD,total_financing_hydro_USD,total_financing_other_USD,total_financing_renewables_USD
AIA,Anguilla,North America,2022,NA,NA,NA,NA,NA,1.54,3.82,NA,NA,1.54,3.82,0,0,0,0,0,0,0,0,0
AIA,Anguilla,North America,2023,NA,NA,NA,NA,NA,1.54,3.82,NA,NA,1.54,3.82,0,0,0,0,0,0,0,0,0
AIA,Anguilla,North America,2024,NA,NA,NA,NA,NA,1.54,NA,NA,NA,1.54,0,0,0,0,0,0,0,0,0,0
ALB,Albania,Europe,2019,NA,23050000,0.442758355743373,40.1,99.5582020745294,2177.43,5206.04,9.96417,NA,14,22.2,0,0,2162,5183.85,0,0,0,0,0
ALB,Albania,Europe,2020,NA,33170000,0.624317711274233,44.4,99.3788819875776,2409.43,5313.17,9.31297,NA,21,32.27,0,0,2387,5280.9,0,0,0,0,0
ALB,Albania,Europe,2021,NA,41710000,0.465409506806516,41.9,99.5425128319572,2531.43,8962.71,9.74087,NA,23,40.77,0,0,2507,8921.94,10.34,0,95.2,0,105.54
ALB,Albania,Europe,2022,NA,NA,NA,NA,97.7006569551557,2594.57,7002.64,9.15757,NA,100.14,160.89,0,0,2493,6841.75,0,0,2.1,0,2.1
ALB,Albania,Europe,2023,NA,NA,NA,NA,NA,2727.02,9006.02,NA,187330000,206.73,297.46,0,0,2518.86,8708.56,61.71,0,0,0,61.71
ALB,Albania,Europe,2024,NA,NA,NA,NA,NA,2827.02,NA,NA,NA,306.73,0,0,0,2518.86,0,0,0,0,0,0
AND,Andorra,Europe,2019,96.6070777088654,22260000,13.5352061291499,17.2,83.0718715797154,52.99,158.88,NA,NA,1.99,0.72,0,0,46,136.62,0,0,0,0,0
AND,Andorra,Europe,2020,97.3833824234537,20770000,14.2270018494417,20.9,83.1563805740119,54.08,142.17,NA,NA,3.08,0.94,0,0,46,121.4,0,0,0,0,0
AND,Andorra,Europe,2021,93.3403907227408,18160000,17.4766624963911,18.4,75.8637282263497,55.35,96.98,NA,NA,4.35,1.26,0,0,46,78.83,0,0,0,0,0
AND,Andorra,Europe,2022,NA,NA,NA,18.7,NA,56.63,87.53,NA,NA,5.63,1.57,0,0,46,67.2,0,0,0,0,0
AND,Andorra,Europe,2023,NA,NA,NA,NA,NA,59.73,90.81,NA,NA,8.73,4.27,0,0,46,69.93,0,0,0,0,0
AND,Andorra,Europe,2024,NA,NA,NA,NA,NA,59.73,NA,NA,NA,8.73,0,0,0,46,0,0,0,0,0,0
ARE,United Arab Emirates,Asia,2019,2.64586794169905,3663310000,2.64586794169905,0.7,0,1936.23,3663.46,243.156228,NA,1935.23,3663.46,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,Asia,2020,3.78319860170417,5194710000,3.78319860170417,0.9,0,2333.6,5194.31,240.889328,NA,2332.6,5193.44,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,Asia,2021,4.20134583903604,6262190000,4.20134583903604,1,0,3003.4,6261.78,248.530528,NA,3002.39,6261.34,0.02,0.05,0,0,0,0,0,0,0
ARE,United Arab Emirates,Asia,2022,NA,NA,NA,NA,NA,3605.62,7766.2,259.198528,3802000000,3596.2000000000003,7753.36,0.02,0.05,0,0,300.25,0,0,0,300.25
ARE,United Arab Emirates,Asia,2023,NA,NA,NA,NA,NA,6074.7,14684.2,NA,NA,5942.3,14413.9,99.1,60,0,0,0,0,0,0,0
ARE,United Arab Emirates,Asia,2024,NA,NA,NA,NA,NA,6815,NA,NA,NA,6468.2,0,99.1,0,0,0,0,0,0,0,0
ARG,Argentina,South America,2019,26.5099136541149,2097910000,1.5032854430153,10.7,25.0066282110996,12662.89,35148.009999999995,368.6784,3468400000,445.85,808.1500000000001,1609.46,4999.25,10342.12,27514.92,97.8,416.57,0,0.06,514.43
ARG,Argentina,South America,2020,27.2624493230322,8877220000,6.17318136617456,9.8,21.0892679568576,14100.599999999999,36935.920000000006,415.16231,160000000,767.88,1353.02,2624.0099999999998,9414.71,10375.76,23679.07,0.01,2.7,0,0,2.71
ARG,Argentina,South America,2021,25.5361113468556,13880960000,9.06192102050542,9.2,16.4741903263502,15110.470000000001,37243.43,435.46391,NA,1076.9199999999998,2212.5,3292.23,12942.259999999998,10377.27,19657.47,0.86,1.77,0,0,2.63
ARG,Argentina,South America,2022,NA,NA,NA,NA,20.2403103436438,15181.06,48233.71,442.61121,861000000,1112.67,2952.3,3310.23,14169.38,10390.49,28675.07,0.01,10.37,0,0,10.379999999999999
ARG,Argentina,South America,2023,NA,NA,NA,NA,NA,15878.33,61348.51,NA,720000000,1405.3,3292.53,3706.33,15983.05,10390.49,39591.54,221.47,90.85,0,0,312.32
ARG,Argentina,South America,2024,NA,NA,NA,NA,NA,15636.83,NA,NA,NA,1740.6,0,4320.33,0,9195.49,0,0,0,0,0,0
ARM,Armenia,Europe,2019,31.2254199765594,27800000,0.36202630550853,10.3,30.8633936710509,1364.03,2397.8,9.00092,321400000,21.1,23.6,2.93,3.3,1340,2370.9,0.04,0,0,1.5,1.54
ARM,Armenia,Europe,2020,23.4345496300077,58800000,0.750191375350855,8.4,22.6843582546568,1403.43,1836.8,9.52302,NA,50.5,56.5,2.93,1.9,1350,1778.4,10.01,0,0,1.84,11.85
ARM,Armenia,Europe,2021,30.0380758979566,165700000,2.10305876380251,9.1,27.9350171341541,1494.23,2366.7,10.20082,53010000,146.1,163.5,2.93,1.5,1345.2,2201.7,0.14,0,0,0.12,0.26
ARM,Armenia,Europe,2022,NA,NA,NA,NA,21.0990206746464,1583.32,3371.5,9.89392,37000000,235.2,523.5,2.93,1.8,1345.2,2846.2,1.01,0,0,2.21,3.2199999999999998
ARM,Armenia,Europe,2023,NA,NA,NA,NA,NA,1762.4,2381.5,NA,26000000,401.7,733.4,2.9,2.3,1357.8,1645.8,0.99,0,0,0.26,1.25
ARM,Armenia,Europe,2024,NA,NA,NA,NA,NA,1839.3,NA,NA,NA,485.4,0,2.9,0,1351,0,0,0,0,0,0
ASM,American Samoa,Oceania,2019,4.27379925222893,7430000,4.27379925222893,0.4,0,4.8100000000000005,7.43,NA,NA,4.8100000000000005,7.43,0,0,0,0,0,0,0,0,0
ASM,American Samoa,Oceania,2020,3.87100430741329,6830000,3.87100430741329,0.4,0,4.8100000000000005,6.55,NA,NA,4.8100000000000005,6.55,0,0,0,0,0,0,0,0,0
ASM,American Samoa,Oceania,2021,3.8725406815218,6830000,3.8725406815218,0.4,0,4.8100000000000005,5.58,NA,NA,4.8100000000000005,5.58,0,0,0,0,0,0,0,0,0
ASM,American Samoa,Oceania,2022,NA,NA,NA,0.4,NA,7.11,4.09,NA,NA,7.11,4.09,0,0,0,0,0,0,0,0,0
ASM,American Samoa,Oceania,2023,NA,NA,NA,NA,NA,7.11,4.09,NA,NA,7.11,4.09,0,0,0,0,0,0,0,0,0
